amfi_code,scheme_name,category,cagr_1yr_pct,cagr_3yr_pct,cagr_5yr_pct
119094,Axis Midcap Fund - Regular - Growth,Equity,22.26,35.11,
148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,20.36,34.0,
120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,13.06,32.49,
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,53.23,32.44,
120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,29.6,31.78,
119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,60.44,30.46,
120843,Kotak Flexicap Fund - Regular - Growth,Equity,26.66,29.58,
148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,39.75,29.18,
101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,47.92,28.97,
149324,DSP Small Cap Fund - Regular - Growth,Equity,65.14,27.0,
149323,DSP Midcap Fund - Regular - Growth,Equity,21.48,26.87,
119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,82.78,26.67,
102887,UTI Flexi Cap Fund - Regular - Growth,Equity,13.58,25.56,
118632,Nippon India Large Cap Fund - Regular - Growth,Equity,33.98,22.65,
118633,Nippon India Large Cap Fund - Direct - Growth,Equity,25.54,21.09,
119093,Axis Bluechip Fund - Direct - Growth,Equity,19.77,20.82,
118635,Nippon India ETF Nifty 50 BeES,Equity,22.49,20.01,
102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,20.21,19.67,
125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,28.68,18.43,
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,41.82,18.42,
149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,18.11,18.04,
120841,Kotak Bluechip Fund - Regular - Growth,Equity,16.84,17.27,
119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,5.71,16.27,
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,14.27,14.75,
120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,8.49,13.98,
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,15.44,11.25,
118634,Nippon India Small Cap Fund - Regular - Growth,Equity,15.81,8.01,
120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,22.5,7.76,
120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,7.43,7.39,
120844,Kotak Liquid Fund - Regular - Growth,Debt,7.12,6.7,
101208,ABSL Liquid Fund - Regular - Growth,Debt,7.24,6.32,
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,5.52,5.84,
118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,10.45,4.06,
100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,3.7,3.92,
100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,-2.22,1.29,
119092,Axis Bluechip Fund - Regular - Growth,Equity,1.61,0.53,
102886,UTI Mid Cap Fund - Regular - Growth,Equity,-16.8,-0.77,
119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,13.95,-1.34,
101207,ABSL Small Cap Fund - Regular - Growth,Equity,-23.99,-4.15,
119095,Axis Small Cap Fund - Regular - Growth,Equity,-42.8,-11.71,
