rank,amfi_code,scheme_name,category,cagr_3yr_pct,sharpe_ratio,alpha_annual,max_drawdown_pct,expense_ratio_pct,rank_return,rank_sharpe,rank_alpha,rank_expense,rank_drawdown,fund_score
1,100016,HDFC Top 100 Fund - Regular Plan - Growth,Equity,1.29,-0.321,0.0374758076344328,-24.73,1.55,87.5,85.0,97.5,80.0,85.0,100.0
2,102886,UTI Mid Cap Fund - Regular - Growth,Equity,-0.77,-0.295,0.0289693978663794,-28.0,1.51,92.5,82.5,100.0,61.25000000000001,87.5,98.33
3,119095,Axis Small Cap Fund - Regular - Growth,Equity,-11.71,-0.152,0.0480159536377595,-51.68,1.38,100.0,80.0,92.5,42.5,97.5,95.96
4,101207,ABSL Small Cap Fund - Regular - Growth,Equity,-4.15,0.053,0.1089709190170453,-35.45,1.53,97.5,67.5,67.5,71.25,95.0,89.21
5,119092,Axis Bluechip Fund - Regular - Growth,Equity,0.53,-0.131,0.0689952982167755,-14.4,1.64,90.0,75.0,75.0,98.75,37.5,88.51
6,119599,SBI Small Cap Fund - Direct Plan - Growth,Equity,-1.34,-0.136,0.0488242159455398,-52.57,0.72,95.0,77.5,90.0,13.750000000000002,100.0,86.58
7,120842,Kotak Emerging Equity Fund - Regular - Growth,Equity,7.76,-0.058,0.0780443887615508,-24.0,1.56,70.0,72.5,72.5,82.5,82.5,81.4
8,101208,ABSL Liquid Fund - Regular - Growth,Debt,6.32,-4.65,0.0608614579578711,-0.16,0.79,77.5,100.0,82.5,27.500000000000004,7.5,74.91
9,100025,HDFC Short Term Debt Fund - Regular - Growth,Debt,3.92,-1.04,0.0428179203150608,-4.31,0.56,85.0,92.5,95.0,5.0,10.0,74.56
10,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Debt,5.84,-0.743,0.0562089521663836,-4.33,0.77,80.0,87.5,85.0,22.5,12.5,71.93
11,118636,Nippon India Gilt Securities Fund - Regular - Growth,Debt,4.06,-0.851,0.050747729999761,-8.32,0.55,82.5,90.0,87.5,2.5,15.0,70.7
12,120844,Kotak Liquid Fund - Regular - Growth,Debt,6.7,-4.0,0.0645567749537599,-0.12,0.6,75.0,97.5,80.0,7.5,5.0,67.72
13,120507,ICICI Pru Liquid Fund - Regular - Growth,Debt,7.39,-3.65,0.0674621041109953,-0.1,0.74,72.5,95.0,77.5,17.5,2.5,66.84
14,120841,Kotak Bluechip Fund - Regular - Growth,Equity,17.27,0.255,0.1304292445070544,-17.57,1.59,55.00000000000001,60.0,62.5,87.5,60.0,65.79
15,118634,Nippon India Small Cap Fund - Regular - Growth,Equity,8.01,0.292,0.1750072167561127,-23.34,1.53,67.5,57.49999999999999,45.0,71.25,80.0,64.65
16,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Equity,11.25,0.135,0.1198910097121797,-21.12,0.78,65.0,65.0,65.0,25.0,72.5,61.05
17,149322,DSP Top 100 Equity Fund - Regular - Growth,Equity,18.04,0.24,0.1317319022609943,-14.84,1.54,52.5,62.5,60.0,76.25,40.0,59.74
18,102887,UTI Flexi Cap Fund - Regular - Growth,Equity,25.56,0.385,0.1621125679403325,-21.54,1.64,32.5,55.00000000000001,52.5,98.75,75.0,56.23
19,119093,Axis Bluechip Fund - Direct - Growth,Equity,20.82,-0.047,0.0823280129522209,-21.75,0.75,40.0,70.0,70.0,20.0,77.5,53.33
20,120506,ICICI Pru Value Discovery Fund - Regular - Growth,Equity,18.42,0.405,0.1625385327998104,-19.83,1.41,50.0,47.5,50.0,47.5,67.5,48.42
21,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Equity,14.75,0.641,0.2087301008694233,-15.27,1.52,60.0,37.5,35.0,66.25,47.5,46.05
22,120503,ICICI Pru Bluechip Fund - Regular - Growth,Equity,13.98,0.517,0.1770330236584407,-13.9,1.42,62.5,42.5,42.5,50.0,35.0,45.79
23,102885,UTI Nifty 50 Index Fund - Regular - Growth,Equity,19.67,0.52,0.1704875680341269,-10.86,1.57,45.0,40.0,47.5,85.0,17.5,43.86
24,118635,Nippon India ETF Nifty 50 BeES,Equity,20.01,0.393,0.1513635464823924,-11.65,0.89,42.5,50.0,57.49999999999999,32.5,25.0,39.12
25,118633,Nippon India Large Cap Fund - Direct - Growth,Equity,21.09,0.389,0.1564383594816966,-18.63,0.72,37.5,52.5,55.00000000000001,13.750000000000002,65.0,38.86
26,125497,HDFC Top 100 Fund - Direct Plan - Growth,Equity,18.43,0.506,0.1772975492753176,-15.2,0.92,47.5,45.0,40.0,35.0,45.0,37.89
27,119552,SBI Bluechip Fund - Direct Plan - Growth,Equity,16.27,0.648,0.1986859936686296,-11.8,0.66,57.49999999999999,35.0,37.5,10.0,27.500000000000004,30.18
28,118632,Nippon India Large Cap Fund - Regular - Growth,Equity,22.65,0.759,0.2182939790460864,-17.41,1.51,35.0,20.0,27.500000000000004,61.25000000000001,57.49999999999999,27.63
29,149323,DSP Midcap Fund - Regular - Growth,Equity,26.87,0.833,0.2659857754204304,-17.25,1.61,27.500000000000004,15.0,20.0,95.0,55.00000000000001,27.37
30,149324,DSP Small Cap Fund - Regular - Growth,Equity,27.0,0.714,0.3005787817097677,-31.17,1.52,25.0,30.0,5.0,66.25,92.5,26.58
31,101206,ABSL Frontline Equity Fund - Regular - Growth,Equity,28.97,0.717,0.2139978477605121,-11.29,1.6,22.5,25.0,30.0,91.25,22.5,26.23
32,119598,SBI Small Cap Fund - Regular Plan - Growth,Equity,26.67,0.712,0.3033696538698332,-28.71,1.43,30.0,32.5,2.5,52.5,90.0,25.61
33,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Equity,29.18,0.919,0.2827036785246582,-16.4,1.6,20.0,7.5,10.0,91.25,52.5,17.63
34,119551,SBI Bluechip Fund - Regular Plan - Growth,Equity,30.46,0.861,0.2320100716063508,-15.01,1.54,15.0,12.5,25.0,76.25,42.5,16.93
35,119094,Axis Midcap Fund - Regular - Growth,Equity,35.11,0.731,0.2607666908004223,-20.96,1.38,2.5,22.5,22.5,42.5,70.0,11.23
36,120504,ICICI Pru Bluechip Fund - Direct - Growth,Equity,32.49,0.715,0.2119482701352573,-12.59,0.8,7.5,27.500000000000004,32.5,30.0,30.0,9.65
37,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Equity,32.44,0.808,0.2719535450128533,-16.22,1.38,10.0,17.5,15.0,42.5,50.0,7.72
38,120843,Kotak Flexicap Fund - Regular - Growth,Equity,29.58,0.966,0.2733046503830605,-12.97,1.45,17.5,5.0,12.5,55.00000000000001,32.5,5.96
39,120505,ICICI Pru Midcap Fund - Regular - Growth,Equity,31.78,0.883,0.2926358334175106,-18.19,1.36,12.5,10.0,7.5,37.5,62.5,4.74
40,148567,Mirae Asset Large Cap Fund - Regular - Growth,Equity,34.0,1.068,0.2698375144191807,-11.27,1.46,5.0,2.5,17.5,57.49999999999999,20.0,0.0
