amfi_code,scheme_name,sub_category,max_drawdown,max_drawdown_pct,peak_date,trough_date,drawdown_duration_days,rank
119599,SBI Small Cap Fund - Direct Plan - Growth,Small Cap,-0.525742,-52.57,2023-01-17,2025-10-28,1015,1
119095,Axis Small Cap Fund - Regular - Growth,Small Cap,-0.516778,-51.68,2025-05-22,2026-05-11,354,2
101207,ABSL Small Cap Fund - Regular - Growth,Small Cap,-0.354469,-35.45,2024-11-21,2026-05-11,536,3
149324,DSP Small Cap Fund - Regular - Growth,Small Cap,-0.311719,-31.17,2024-05-05,2025-01-03,243,4
119598,SBI Small Cap Fund - Regular Plan - Growth,Small Cap,-0.28706,-28.71,2024-08-28,2025-05-14,259,5
102886,UTI Mid Cap Fund - Regular - Growth,Mid Cap,-0.280011,-28.0,2025-01-07,2026-04-27,475,6
100016,HDFC Top 100 Fund - Regular Plan - Growth,Large Cap,-0.247344,-24.73,2022-03-30,2022-09-15,169,7
120842,Kotak Emerging Equity Fund - Regular - Growth,Mid Cap,-0.240035,-24.0,2023-11-09,2024-10-17,343,8
118634,Nippon India Small Cap Fund - Regular - Growth,Small Cap,-0.233449,-23.34,2025-04-09,2026-02-20,317,9
119093,Axis Bluechip Fund - Direct - Growth,Large Cap,-0.217514,-21.75,2022-02-24,2023-05-22,452,10
102887,UTI Flexi Cap Fund - Regular - Growth,Flexi Cap,-0.215398,-21.54,2022-01-03,2022-07-04,182,11
125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,Mid Cap,-0.211173,-21.12,2025-04-06,2025-09-12,159,12
119094,Axis Midcap Fund - Regular - Growth,Mid Cap,-0.209609,-20.96,2022-04-14,2022-08-11,119,13
120506,ICICI Pru Value Discovery Fund - Regular - Growth,Value,-0.198257,-19.83,2023-04-02,2023-08-14,134,14
118633,Nippon India Large Cap Fund - Direct - Growth,Large Cap,-0.186297,-18.63,2023-10-30,2024-02-29,122,15
120505,ICICI Pru Midcap Fund - Regular - Growth,Mid Cap,-0.181885,-18.19,2024-10-24,2025-01-23,91,16
120841,Kotak Bluechip Fund - Regular - Growth,Large Cap,-0.175736,-17.57,2024-01-09,2025-02-14,402,17
118632,Nippon India Large Cap Fund - Regular - Growth,Large Cap,-0.174141,-17.41,2024-01-02,2024-07-19,199,18
149323,DSP Midcap Fund - Regular - Growth,Mid Cap,-0.172481,-17.25,2022-06-06,2022-10-24,140,19
148569,Mirae Asset Tax Saver Fund - Regular - Growth,ELSS,-0.163967,-16.4,2023-08-10,2023-10-20,71,20
100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,Mid Cap,-0.162172,-16.22,2022-03-13,2022-05-12,60,21
148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Large & Mid Cap,-0.152726,-15.27,2023-09-05,2024-01-24,141,22
125497,HDFC Top 100 Fund - Direct Plan - Growth,Large Cap,-0.152,-15.2,2023-12-24,2025-01-01,374,23
119551,SBI Bluechip Fund - Regular Plan - Growth,Large Cap,-0.150124,-15.01,2023-08-24,2024-02-05,165,24
149322,DSP Top 100 Equity Fund - Regular - Growth,Large Cap,-0.148446,-14.84,2022-01-03,2022-02-04,32,25
119092,Axis Bluechip Fund - Regular - Growth,Large Cap,-0.144016,-14.4,2023-10-12,2025-02-07,484,26
120503,ICICI Pru Bluechip Fund - Regular - Growth,Large Cap,-0.138979,-13.9,2023-09-19,2023-11-09,51,27
120843,Kotak Flexicap Fund - Regular - Growth,Flexi Cap,-0.12974,-12.97,2022-03-07,2022-04-13,37,28
120504,ICICI Pru Bluechip Fund - Direct - Growth,Large Cap,-0.125883,-12.59,2022-10-04,2023-05-30,238,29
119552,SBI Bluechip Fund - Direct Plan - Growth,Large Cap,-0.118035,-11.8,2024-05-21,2024-09-02,104,30
118635,Nippon India ETF Nifty 50 BeES,Index/ETF,-0.116506,-11.65,2022-01-03,2022-06-09,157,31
101206,ABSL Frontline Equity Fund - Regular - Growth,Large Cap,-0.112916,-11.29,2023-04-24,2023-07-05,72,32
148567,Mirae Asset Large Cap Fund - Regular - Growth,Large Cap,-0.112657,-11.27,2023-07-11,2023-10-20,101,33
102885,UTI Nifty 50 Index Fund - Regular - Growth,Index,-0.108599,-10.86,2022-02-03,2022-03-29,54,34
118636,Nippon India Gilt Securities Fund - Regular - Growth,Gilt,-0.083164,-8.32,2023-02-09,2024-02-09,365,35
119120,SBI Magnum Gilt Fund - Regular Plan - Growth,Gilt,-0.043287,-4.33,2024-09-16,2025-04-01,197,36
100025,HDFC Short Term Debt Fund - Regular - Growth,Short Duration,-0.043083,-4.31,2023-05-23,2023-07-28,66,37
101208,ABSL Liquid Fund - Regular - Growth,Liquid,-0.001622,-0.16,2023-09-05,2023-09-12,7,38
120844,Kotak Liquid Fund - Regular - Growth,Liquid,-0.001163,-0.12,2024-04-14,2024-04-30,16,39
120507,ICICI Pru Liquid Fund - Regular - Growth,Liquid,-0.000977,-0.1,2025-10-16,2025-10-20,4,40
