amfi_code,date,rolling_sharpe,scheme_name
100016,2022-01-03,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-04,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-05,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-06,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-07,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-08,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-09,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-10,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-11,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-12,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-13,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-14,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-15,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-16,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-17,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-18,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-19,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-20,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-21,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-22,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-23,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-24,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-25,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-26,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-27,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-28,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-29,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-30,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-01-31,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-01,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-02,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-03,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-04,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-05,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-06,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-07,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-08,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-09,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-10,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-11,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-12,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-13,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-14,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-15,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-16,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-17,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-18,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-19,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-20,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-21,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-22,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-23,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-24,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-25,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-26,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-27,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-02-28,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-01,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-02,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-03,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-04,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-05,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-06,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-07,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-08,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-09,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-10,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-11,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-12,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-13,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-14,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-15,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-16,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-17,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-18,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-19,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-20,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-21,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-22,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-23,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-24,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-25,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-26,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-27,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-28,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-29,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-30,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-03-31,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-01,,HDFC Top 100 Fund - Regular Plan - Growth
100016,2022-04-02,,HDFC Top 100 Fund - Regular Plan - Growth
