rank,amfi_code,scheme_name,fund_house,category,sub_category,average_daily_return,daily_std_dev,sharpe_ratio
1,148567,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Large Cap,0.000768,0.007575,1.068
2,120843,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Flexi Cap,0.000773,0.008475,0.966
3,148569,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,ELSS,0.000804,0.009427,0.919
4,120505,ICICI Pru Midcap Fund - Regular - Growth,ICICI Prudential MF,Equity,Mid Cap,0.00083,0.010288,0.883
5,119551,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Large Cap,0.000656,0.00733,0.861
6,149323,DSP Midcap Fund - Regular - Growth,DSP Mutual Fund,Equity,Mid Cap,0.000754,0.009464,0.833
7,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,0.000772,0.010097,0.808
8,118632,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Large Cap,0.000619,0.007545,0.759
9,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,0.000734,0.010347,0.731
10,101206,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Large Cap,0.000609,0.007768,0.717
11,120504,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Large Cap,0.000603,0.00766,0.715
12,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,0.000854,0.013241,0.714
13,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,0.000859,0.013401,0.712
14,119552,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Large Cap,0.000561,0.007433,0.648
15,148568,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Large & Mid Cap,0.00059,0.008226,0.641
16,102885,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Index,0.000482,0.006844,0.52
17,120503,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Large Cap,0.000499,0.007402,0.517
18,125497,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,0.000507,0.007819,0.506
19,120506,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Value,0.000465,0.008117,0.405
20,118635,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Index/ETF,0.000429,0.00692,0.393
21,118633,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Large Cap,0.000441,0.00746,0.389
22,102887,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Flexi Cap,0.000461,0.008398,0.385
23,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,0.000506,0.013447,0.292
24,120841,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Large Cap,0.000373,0.007175,0.255
25,149322,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Large Cap,0.000373,0.007648,0.24
26,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,0.000341,0.009777,0.135
27,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,0.000303,0.013741,0.053
28,119093,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Large Cap,0.000236,0.007449,-0.047
29,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,0.000223,0.009532,-0.058
30,119092,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Large Cap,0.000197,0.007431,-0.131
31,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,0.000144,0.013289,-0.136
32,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,0.00013,0.013351,-0.152
33,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,7.9e-05,0.009659,-0.295
34,100016,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Large Cap,0.000101,0.007749,-0.321
35,119120,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Gilt,0.000159,0.002115,-0.743
36,118636,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Gilt,0.000144,0.002125,-0.851
37,100025,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Short Duration,0.000122,0.002081,-1.04
38,120507,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Liquid,0.000191,0.000289,-3.65
39,120844,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Liquid,0.000183,0.000297,-4.0
40,101208,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Liquid,0.000173,0.000291,-4.65
