risk_rank,amfi_code,scheme_name,fund_house,category,sub_category,observations,mean_daily_return,daily_std_dev,var_95_daily_pct,cvar_95_daily_pct,var_95_amt_per_1lakh,cvar_95_amt_per_1lakh
1,101207,ABSL Small Cap Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Small Cap,1607.0,0.0003,0.0137,-2.3915,-3.0289,-2391.0,-3029.0
2,119095,Axis Small Cap Fund - Regular - Growth,Axis Mutual Fund,Equity,Small Cap,1607.0,0.0001,0.0134,-2.3284,-2.969,-2328.0,-2969.0
3,119599,SBI Small Cap Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Small Cap,1607.0,0.0001,0.0133,-2.3155,-3.0163,-2316.0,-3016.0
4,118634,Nippon India Small Cap Fund - Regular - Growth,Nippon India MF,Equity,Small Cap,1607.0,0.0005,0.0134,-2.281,-2.994,-2281.0,-2994.0
5,149324,DSP Small Cap Fund - Regular - Growth,DSP Mutual Fund,Equity,Small Cap,1607.0,0.0009,0.0132,-2.152,-2.8573,-2152.0,-2857.0
6,119598,SBI Small Cap Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Small Cap,1607.0,0.0009,0.0134,-2.1502,-2.8444,-2150.0,-2844.0
7,119094,Axis Midcap Fund - Regular - Growth,Axis Mutual Fund,Equity,Mid Cap,1607.0,0.0007,0.0103,-1.6997,-2.2375,-1700.0,-2237.0
8,120842,Kotak Emerging Equity Fund - Regular - Growth,Kotak Mahindra MF,Equity,Mid Cap,1607.0,0.0002,0.0095,-1.695,-2.1251,-1695.0,-2125.0
9,100033,HDFC Mid-Cap Opportunities Fund - Regular - Growth,HDFC Mutual Fund,Equity,Mid Cap,1607.0,0.0008,0.0101,-1.6902,-2.185,-1690.0,-2185.0
10,102886,UTI Mid Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Mid Cap,1607.0,0.0001,0.0097,-1.6857,-2.1771,-1686.0,-2177.0
11,125498,HDFC Mid-Cap Opportunities Fund - Direct - Growth,HDFC Mutual Fund,Equity,Mid Cap,1607.0,0.0003,0.0098,-1.6762,-2.1484,-1676.0,-2148.0
